iter	Passed	Remaining
642	5129	2847
643	5138	2840
644	5146	2832
645	5155	2825
646	5163	2817
647	5172	2809
648	5181	2802
649	5192	2795
650	5201	2788
651	5211	2781
652	5221	2774
653	5229	2766
654	5239	2759
655	5248	2752
656	5256	2744
657	5265	2736
658	5273	2728
659	5282	2721
660	5290	2713
661	5299	2705
662	5307	2697
663	5315	2689
664	5323	2681
665	5331	2673
666	5338	2665
667	5346	2657
668	5353	2648
669	5360	2640
670	5368	2632
671	5376	2624
672	5384	2616
673	5391	2607
674	5400	2600
675	5408	2592
676	5417	2584
677	5425	2576
678	5433	2568
679	5442	2561
680	5450	2553
681	5458	2544
682	5466	2537
683	5474	2529
684	5483	2521
685	5491	2513
686	5499	2505
687	5506	2497
688	5515	2489
689	5522	2481
690	5529	2472
691	5537	2464
692	5544	2456
693	5552	2448
694	5560	2440
695	5567	2431
696	5576	2424
697	5583	2415
698	5594	2408
699	5602	2401
700	5612	2394
701	5621	2386
702	5630	2378
703	5639	2371
704	5647	2363
705	5656	2355
706	5665	2347
707	5673	2339
708	5681	2331
709	5693	2325
710	5704	2318
711	5711	2310
712	5721	2303
713	5729	2294
714	5738	2287
715	5748	2279
716	5757	2272
717	5765	2264
718	5774	2256
719	5783	2249
720	5791	2241
721	5800	2233
722	5808	2225
723	5817	2217
724	5825	2209
725	5834	2201
726	5842	2193
727	5851	2186
728	5858	2178
729	5867	2170
730	5875	2161
731	5883	2153
732	5890	2145
733	5899	2137
734	5906	2129
735	5915	2121
736	5923	2113
737	5931	2105
738	5938	2097
739	5946	2089
740	5953	2081
741	5962	2073
742	5971	2065
743	5982	2058
744	5991	2050
745	6001	2043
746	6009	2035
747	6018	2027
748	6027	2019
749	6035	2011
750	6043	2003
751	6052	1996
752	6061	1988
753	6068	1980
754	6077	1972
755	6085	1964
756	6095	1956
757	6102	1948
758	6112	1940
759	6119	1932
760	6127	1924
761	6136	1916
762	6146	1909
763	6156	1901
764	6167	1894
765	6177	1886
766	6188	1880
767	6197	1872
768	6207	1864
769	6216	1857
770	6226	1849
771	6236	1841
772	6246	1834
773	6258	1827
774	6267	1819
775	6275	1811
776	6285	1803
777	6293	1795
778	6303	1788
779	6310	1780
780	6319	1772
781	6327	1763
782	6336	1755
783	6344	1747
784	6353	1740
785	6361	1731
786	6370	1724
787	6379	1716
788	6391	1709
789	6411	1704
790	6443	1702
791	6473	1700
792	6501	1697
793	6542	1697
794	6562	1692
795	6609	1693
796	6633	1689
797	6642	1681
798	6651	1673
799	6659	1664
800	6668	1656
801	6677	1648
802	6691	1641
803	6700	1633
804	6710	1625
805	6719	1617
806	6731	1609
807	6740	1601
808	6749	1593
809	6758	1585
810	6767	1577
811	6792	1572
812	6802	1564
813	6813	1556
814	6822	1548
815	6831	1540
816	6839	1532
817	6850	1524
818	6860	1516
819	6869	1507
820	6880	1500
821	6889	1491
822	6897	1483
823	6905	1474
824	6913	1466
825	6922	1458
826	6930	1449
827	6940	1441
828	6948	1433
829	6958	1425
830	6965	1416
831	6975	1408
832	6983	1400
833	6993	1391
834	7000	1383
835	7008	1374
836	7028	1368
837	7062	1365
838	7074	1357
839	7085	1349
840	7096	1341
841	7115	1335
842	7124	1326
843	7164	1324
844	7184	1317
845	7200	1310
846	7211	1302
847	7226	1295
848	7238	1287
849	7251	1279
850	7261	1271
851	7271	1263
852	7281	1254
853	7289	1246
854	7299	1237
855	7307	1229
856	7316	1220
857	7325	1212
858	7334	1203
859	7343	1195
860	7351	1186
861	7359	1178
862	7368	1169
863	7378	1161
864	7385	1152
865	7393	1144
866	7401	1135
867	7409	1126
868	7416	1117
869	7423	1109
870	7431	1100
871	7440	1092
872	7448	1083
873	7456	1074
874	7464	1066
875	7472	1057
876	7480	1049
877	7489	1040
878	7497	1032
879	7506	1023
880	7514	1015
881	7522	1006
882	7530	997
883	7538	989
884	7546	980
885	7554	972
886	7562	963
887	7570	954
888	7577	946
889	7587	937
890	7595	929
891	7606	920
892	7614	912
893	7622	903
894	7631	895
895	7639	886
896	7647	878
897	7654	869
898	7662	860
899	7671	852
900	7680	843
901	7687	835
902	7695	826
903	7702	817
904	7709	809
905	7718	800
906	7726	792
907	7734	783
908	7741	775
909	7751	766
910	7758	758
911	7767	749
912	7774	740
913	7782	732
914	7789	723
915	7798	715
916	7805	706
917	7813	697
918	7821	689
919	7829	680
920	7837	672
921	7847	663
922	7855	655
923	7864	646
924	7872	638
925	7879	629
926	7887	621
927	7896	612
928	7904	604
929	7913	595
930	7920	587
931	7929	578
932	7936	569
933	7945	561
934	7953	552
935	7961	544
936	7980	536
937	8037	531
938	8086	525
939	8110	517
940	8137	510
941	8190	504
942	8210	496
943	8223	487
944	8232	479
945	8242	470
946	8251	461
947	8260	453
948	8270	444
949	8278	435
950	8287	427
951	8295	418
952	8304	409
953	8312	400
954	8321	392
955	8329	383
956	8338	374
957	8346	365
958	8354	357
959	8363	348
960	8372	339
961	8380	331
962	8390	322
963	8402	313
964	8410	305
965	8425	296
966	8437	287
967	8450	279
968	8460	270
969	8469	261
970	8480	253
971	8488	244
972	8500	235
973	8509	227
974	8519	218
975	8532	209
976	8540	201
977	8553	192
978	8561	183
979	8569	174
980	8580	166
981	8589	157
982	8598	148
983	8610	140
984	8620	131
985	8631	122
986	8643	113
987	8652	105
988	8667	96
989	8679	87
990	8691	78
991	8702	70
992	8716	61
993	8727	52
994	8738	43
995	8749	35
996	8760	26
997	8769	17
998	8781	8
999	8795	0
